PDF,RelativePath,Status,TotalPages,PagesCreated,PagesSkipped,PagesFailed,DPI,JPEGQuality,Seconds,Error
2W3U5AA3___.pdf,2W3U5AA3___.pdf,Completed,2,2,0,0,200,90,8.39,
2W8AIAX4___.pdf,2W8AIAX4___.pdf,Completed,5,5,0,0,200,90,3.56,
2WGA3UBU__m-api-37787ab9-176e-a92b-3b7e-e13a7d93c507.pdf,2WGA3UBU__m-api-37787ab9-176e-a92b-3b7e-e13a7d93c507.pdf,Completed,5,5,0,0,200,90,0.69,
2WQIEC49___.pdf,2WQIEC49___.pdf,Completed,1,1,0,0,200,90,0.46,
2WUJX2N2__Heavy Metal - Heavy Metal #280 Reviews.pdf,2WUJX2N2__Heavy Metal - Heavy Metal #280 Reviews.pdf,Completed,1,1,0,0,200,90,3.07,
2X59567T__Burstein! - 2009 - Art & Design Films Interviews Renegade Artist Ron English.pdf,2X59567T__Burstein! - 2009 - Art & Design Films Interviews Renegade Artist Ron English.pdf,Completed,1,1,0,0,200,90,0.25,
2XICQBT4__Ruano - 2009 - Ron English Lazarus Rising Exhibition Recap.pdf,2XICQBT4__Ruano - 2009 - Ron English Lazarus Rising Exhibition Recap.pdf,Completed,8,8,0,0,200,90,2.07,
"2XPXMSC9__Tucknott - 2009 - Ron English, Pop Artist (INTERVIEW).pdf","2XPXMSC9__Tucknott - 2009 - Ron English, Pop Artist (INTERVIEW).pdf",Completed,3,3,0,0,200,90,0.49,
2YHMPSB6__Beale - 2010 - Happy National Clown Week.pdf,2YHMPSB6__Beale - 2010 - Happy National Clown Week.pdf,Completed,1,1,0,0,200,90,0.25,
2YIQIU93__Sleepboy - 2015 - Openings Ron English – “NeoNature” @ Corey Helford Gallery.pdf,2YIQIU93__Sleepboy - 2015 - Openings Ron English – “NeoNature” @ Corey Helford Gallery.pdf,Completed,26,26,0,0,200,90,7.64,
2YQB7ISW__YRB Editorial - 2016 - Ron English Guernica.pdf,2YQB7ISW__YRB Editorial - 2016 - Ron English Guernica.pdf,Completed,2,2,0,0,200,90,0.42,
2YZQ62GU__Betz - 1992 - Absolut Collaboration – The Role of the Artist in .pdf,2YZQ62GU__Betz - 1992 - Absolut Collaboration – The Role of the Artist in .pdf,Completed,3,3,0,0,200,90,1.24,
2Z262JN8__Sieland - Unknown - The Preview Issue.pdf,2Z262JN8__Sieland - Unknown - The Preview Issue.pdf,Completed,1,1,0,0,200,90,0.41,
326IF8JY__Vandalog – A Street Art Blog - 2012 - Letters From America at Black Rat Projects Vandalog.pdf,326IF8JY__Vandalog – A Street Art Blog - 2012 - Letters From America at Black Rat Projects Vandalog.pdf,Completed,4,4,0,0,200,90,1.06,
32AQSDIB__Captnbrincrunch - 2008 - Ron English.pdf,32AQSDIB__Captnbrincrunch - 2008 - Ron English.pdf,Completed,1,1,0,0,200,90,0.22,
32QYMEE5__Tuite - 1981 - Artist surreally into his work.pdf,32QYMEE5__Tuite - 1981 - Artist surreally into his work.pdf,Completed,1,1,0,0,200,90,0.51,
33NKQ6CZ__English - 2008 - Ron English.pdf,33NKQ6CZ__English - 2008 - Ron English.pdf,Completed,1,1,0,0,200,90,0.25,
33T7932T__Sleepboy - 2016 - Upcoming Ron English – “Sugar High” @ Dorothy Circus Gallery.pdf,33T7932T__Sleepboy - 2016 - Upcoming Ron English – “Sugar High” @ Dorothy Circus Gallery.pdf,Completed,3,3,0,0,200,90,0.86,
