PDF,RelativePath,Status,TotalPages,PagesCreated,PagesSkipped,PagesFailed,DPI,JPEGQuality,Seconds,Error
23A8XIGA__LA TACO - 2017 - Preview Ron English “Toybox America In The Visuals”(2).pdf,23A8XIGA__LA TACO - 2017 - Preview Ron English “Toybox America In The Visuals”(2).pdf,Completed,3,3,0,0,200,90,0.89,
24HD99YI__Petrick - 2005 - Batman and Barb1e.pdf,24HD99YI__Petrick - 2005 - Batman and Barb1e.pdf,Completed,2,2,0,0,200,90,0.33,
"26KUBRUG__Eller - 2016 - Coverage Ron English Solo Exhibition “Guernica” Opening at Allouche Gallery 102416, NYC.pdf","26KUBRUG__Eller - 2016 - Coverage Ron English Solo Exhibition “Guernica” Opening at Allouche Gallery 102416, NYC.pdf",Completed,7,7,0,0,200,90,2.01,
